,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,RecordName,Download Link,SizeGB,Version,Format,License,Classification,UpdateFrequency,LifecycleStage,Description,Note,industry,keywords ,Type,P-ID,category1,category2,category3,category4,source code License,hash,error,uploaded
10,10,10,10,E-MTAB-6131,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6131/E-MTAB-6131.processed.1.zip,1.15,6/24/2018,zip,,public,static,,Methylation array for Multi-omics molecular profiling of primary prostate adenocarcinoma,,Life Sciences,"Homo sapiens, Methylation",text,p3005,Biology,,,,,d4fbcce5274a5496601d087a24454531ce547853ba892d60982a77a481307c4b,,False
11,11,11,11,E-MTAB-6888,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6888/E-MTAB-6888.processed.1.zip,0.005,6/22/2018,zip,,public,static,,Genome-wide maps of nuclear lamina interactions in HeLa cells identified using MethylAdenine IDentification (MadID),,Life Sciences,Homo sapiens,text,p3006,Biology,,,,,c5930d6ad8d7d14d3c2fdcbbbbaccd89598c92830a7430460b74649430c7ee92,,True
12,12,12,12,E-MTAB-6855,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6855/E-MTAB-6855.processed.1.zip,0.012,6/22/2018,zip,,public,static,,"Gene expression profiles of human breast cancer cell lines MCF-7, T47D and MDA-MB-231 co-cultured with 3T3-L1 adipocytes",,Life Sciences,"Homo sapiens, profiling",text,p3007,Biology,,,,,6d0babbe8d51543a531d9db26dda4a19dd4d2ea0206ffba721ff647541390841,,True
13,13,13,13,E-MTAB-6843,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6843/E-MTAB-6843.processed.1.zip,0.075,6/21/2018,zip,,public,static,,Single cell RNA-sequencing of T cells to examine barcode swapping,,Life Sciences,"Mus musculus, RNA, cells",text,p3008,Biology,,,,,1a75d365a457422c93b959d593f7d9c8c042badb145493c74952231ed01542fa,,False
14,14,14,14,E-MTAB-6063,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6063/E-MTAB-6063.processed.1.zip,0.000266,6/20/2018,zip,,public,static,,microRNA array on plasma from two diffuse large B-cell lymphoma patients and one healthy donor,,Life Sciences,"Homo sapiens, microRNA",text,p3009,Biology,,,,,0ca3aa2353055fab934696a3b8f0e974ae4b2744997a1dcc7afb61b8d77f1653,,True
15,15,15,15,E-MTAB-6503,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6503/E-MTAB-6503.processed.1.zip,0.0001,6/17/2018,zip,,public,static,,ChIP-seq of Mycobacterium smegmatis PafBC to identify in vivo binding sites,,Life Sciences,"Mycobacterium, ChIP-seq",text,p3010,Biology,,,,,cf72949d084f8c6c1dfc5a4f421f8b1acc53462c4fb5e13a3c6d653069c4e295,,True
16,16,16,16,E-MTAB-6497,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6497/E-MTAB-6497.processed.1.zip,0.006,6/17/2018,zip,,public,static,,RNA-seq of Mycobacterium smegmatis mc2-155 SMR5 wild-type vs. a pafBC deletion strain under different growth/stress conditions,,Life Sciences,"Mycobacterium, RNA-seq",text,p3011,Biology,,,,,7e41476d67403d2b12bf0326790c9e0a3197312d1ad16c20844c8d6a3e2b22cb,,True
17,17,17,17,E-MTAB-6315,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6315/E-MTAB-6315.processed.1.zip,0.0015,6/8/2018,zip,,public,static,,Methylation arrays (MethylationEPIC) reveal specific DNA hypermethylation of T cells during human hematopoietic differentiation,,Life Sciences,"Homo sapiens, methylation",text,p3012,Biology,,,,,b931215c40f569f035db71182a42553e5776641932c388ff1cff7b067bc171f8,,True
18,18,18,18,E-MTAB-6311,https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6311/E-MTAB-6311.processed.1.zip,0.0017,6/8/2018,zip,,public,static,,Microarray analysis of transcription changes in zebrafish embryos of different developmental ages after exposure to cyanide,,Life Sciences,"Danio rerio, transcription profiling",text,p3013,Biology,,,,,2b25bc60ec0ced3e0aac9fba23eb67d8e015a0bc13c2946050a740f960fb0381,,True
19,19,19,19,Leishmania major,http://geneontology.org/gene-associations/gene_association.GeneDB_Lmajor.gz,0.000197,v1,gzip,,public,static,,"L. major, is a protozoan parasite that causes cutaneous leishmaniasis. It is a representative genome for all the species of Leishmania. Leishmania, possesse a two-unit genome, a nuclear genome and a mitochondrial kinetoplast. The nuclear genome is divided into 36 chromosomes with a combined haploid size of 33.6Mb.  ",,Life Sciences,,text,p3014,Biology,,,,,7efe029a59ea2e04806e9965038e793cd3fd26769842617abbe26b2221739d12,,True
20,20,20,20,Plasmodium falciparum,http://geneontology.org/gene-associations/gene_association.GeneDB_Pfalciparum.gz,0.00018,v1,gzip,,public,static,,Plasmodium falciparum gene information,,Life Sciences,,text,p3015,Biology,,,,,fa423d72016682cf94193df824f64ed09dc93b5fdda62608d8d46c12519d7fbe,,True
21,21,21,21,Trypanosoma brucei,http://geneontology.org/gene-associations/gene_association.GeneDB_Tbrucei.gz,0.0005,v1,gzip,,public,static,,"T. brucei, the protozoan responsible for African Sleeping Sickness, possesses a two-unit genome, a nuclear genome and a mitochondrial (kinetoplast) genome with a total estimated size of 35Mb/haploid genome. The nuclear genome is split into three classes of chromosomes according to their size on pulse filed gel electrophoresis, 11 megabase chromosomes (0.9-5.7 Mb), intermediate (300-900 kb) and minichromosomes (50-100 kb). ",,Life Sciences,"genome, chromosomes",text,p3016,Biology,,,,,3b6e1edb6978b4b6c251be3d55c17ef644075955d676a5544d46df843748ff84,,True
22,22,22,22,Agrobacterium tumefaciens str. C58,http://geneontology.org/gene-associations/gene_association.PAMGO_Atumefaciens.gz,5e-06,v1,gzip,,public,static,,This dataset contains the annotation of Agrobacterium tumefaciens C58 using GeneOntology (GO) terms.,,Life Sciences,"genome, evidence, annotation",text,p3017,Biology,,,,,66a754d483f8ff1bff93e30acaa63c3c89e949ac096a765cc1bad489b483b219,,True
23,23,23,23,Dickeya dadantii,http://geneontology.org/gene-associations/gene_association.PAMGO_Ddadantii.gz,6e-06,v1,gzip,,public,static,,These annotations are the result of a directed literature search aimed at annotating known and putative virulence factors of Dickeya dadantii.  Annotations were done by Dr. Brad Anderson in the laboratory of Dr. Nicole Perna at the University of Wisconsin.,,Life Sciences,"genome, annotations",text,p3018,Biology,,,,,4d7b126ce2c88463c51bdd9d0d10cfee6153830ecd78b97caf8a96f224d9bb31,,True
24,24,24,24,Magnaporthe grisea,http://geneontology.org/gene-associations/gene_association.PAMGO_Mgrisea.gz,0.000583,v1,gzip,,public,static,,These annotations are based on both experimental data from scientific literature and orthologs identified by stringent computational approaches. Annotations were done by the Magnaporthe grisea genome annotation team at North Carolina State University.,,Life Sciences,"genome, annotations",text,p3019,Biology,,,,,8bcd83c1bd61bf282feb754ffceb721054c863346169f82ceed18123df444ab5,,True
25,25,25,25,Oomycetes,http://geneontology.org/gene-associations/gene_association.PAMGO_Oomycetes.gz,1e-06,v1,gzip,,public,static,,These annotations are based solely on experimental data from scientific literature. Annotations are made by the Oomycete Genome Annotation team at the Virginia Bioinformatics Institute.,,Life Sciences,"genome, annotations",text,p3020,Biology,,,,,f1473bb72ad17e42a33f385ddcbc67749da081f4ad68089c79c3d8f1751abf3a,,True
26,26,26,26,Aspergillus nidulans,http://geneontology.org/gene-associations/gene_association.aspgd.gz,0.006,v1,gzip,,public,static,,Contains all GO annotations for Aspergillus nidulans genes (protein and RNA),,Life Sciences,"genome, genes",text,p3021,Biology,,,,,28fe715a561d1af9dc0beeea6425edec7dda92ee59e26bc36294c0038f196a8f,,True
27,27,27,27,Candida albicans,http://geneontology.org/gene-associations/gene_association.cgd.gz,0.004,v1,gzip,,public,static,,Contains all GO annotations for C. albicans genes (protein and RNA),,Life Sciences,genome,text,p3022,Biology,,,,,f081e044dda27c302e3fcbf7f48c944d44118175df5bfcbbfd13df38a4268d5a,,True
28,28,28,28,Dictyostelium discoideum,http://geneontology.org/gene-associations/gene_association.dictyBase.gz,0.002,v1,gzip,,public,static,,This file contains all GO annotations for Dictyostelium discoideum gene products (protein and RNA) in dictyBase.,,Life Sciences,"ontology, genes",text,p3023,Biology,,,,,2e1b1993118b0e6d105908016aa3d7220dea875f864d2e6e4e7f256dce6e6fe4,,True
29,29,29,29,Escherichia coli,http://geneontology.org/gene-associations/gene_association.ecocyc.gz,0.000641,v1,gzip,,public,static,,Contains all GO annotations for Escherichia coli K-12.,,Life Sciences,"E-coli, genes, ontology",text,p3024,Biology,,,,,d617aa6bd9cc13a61f7f87615bae7e99425820f0836b2242256373d0f6219e29,,True
30,30,30,30,Drosophila melanogaster,http://geneontology.org/gene-associations/gene_association.fb.gz,0.004,v1,gzip,,public,static,,Currently all GO annotations in FlyBase are attributed to genes. The GO terms describe the attributes of the products (both RNA and protein) encoded by these Drosophila genes.,,Life Sciences,"genes, annotations",text,p3025,Biology,,,,,6088771a0bbe714a9a43c2d4d1d9f2738700569457b382b4a173284f49e1465b,,True
31,31,31,31,Gallus gallus,http://geneontology.org/gene-associations/goa_chicken.gaf.gz,0.004,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"chicken, genes, annotations",text,p3026,Biology,,,,,8192948d402b29fb4f1496b9f60b5cf2aa41bba6da6db48098de9de9a5cac8fb,,True
32,32,32,32,Gallus gallus (complex),http://geneontology.org/gene-associations/goa_chicken_complex.gaf.gz,1.6e-05,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"chicken, genes, annotations",text,p3027,Biology,,,,,d2ddb067f10723b79b59b8b095f994dd64bac64514db9037e6488397ae858cff,,True
33,33,33,33,Gallus gallus (rna),http://geneontology.org/gene-associations/goa_chicken_rna.gaf.gz,3.2e-05,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"chicken, genes, annotations",text,p3028,Biology,,,,,247aa3e57d23d01d64b9b5d163bdad1df573a3817bb955ee2430e2c6f81b24fb,,True
34,34,34,34,Bos taurus,http://geneontology.org/gene-associations/goa_cow.gaf.gz,0.002,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"cow, genes, annotations",text,p3029,Biology,,,,,77f967b325289f4df67bc444ce8784674b040a29d970f46f6b96dddf900cfa8d,,True
35,35,35,35,Bos taurus (complex),http://geneontology.org/gene-associations/goa_cow_complex.gaf.gz,4e-06,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"cow, genes, annotations",text,p3030,Biology,,,,,a2974bc936f4a4115635395f4e919a1c8abc777fed3aa3ac46a61fcb1fffd94a,,True
36,36,36,36,Bos taurus (rna),http://geneontology.org/gene-associations/goa_cow_rna.gaf.gz,0.000362,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"cow, genes, annotations",text,p3031,Biology,,,,,a09535ae822bc8f0353faed57354a50579e79da7a283177f678168c6b5c92c35,,True
37,37,37,37,Canis lupus familiaris,http://geneontology.org/gene-associations/goa_dog.gaf.gz,0.002,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"dog, genes, annotations",text,p3032,Biology,,,,,3514b42191cf3dec35b827e7a0c950663fe732053337c4073bf1784696c7b4ff,,True
38,38,38,38,Canis lupus familiaris (complex),http://geneontology.org/gene-associations/goa_dog_complex.gaf.gz,0.00031600000000000004,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"dog, genes, annotations",text,p3033,Biology,,,,,5f3a2c53653527fef44d82bd79843eb2ad51e7255f254aae01565e586b2d11f2,,True
39,39,39,39,Canis lupus familiaris (rna),http://geneontology.org/gene-associations/goa_dog_rna.gaf.gz,0.00018,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"dog, genes, annotations",text,p3034,Biology,,,,,b8e90f7916e99b79415fe27e9959ab0b643169486b23b5ef22a153d802778043,,True
40,40,40,40,Homo sapiens,http://geneontology.org/gene-associations/goa_human.gaf.gz,0.009000000000000001,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"human, genes, annotations",text,p3035,Biology,,,,,82a11b1973f76eaf56e10abd0f89cbc1cfcd4c2774cb69ba2a2d0e29f9d3fd06,,True
41,41,41,41,Homo sapiens (complex),http://geneontology.org/gene-associations/goa_human_complex.gaf.gz,3.3e-05,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"human, genes, annotations",text,p3036,Biology,,,,,245f4f8c678c4e41be74d3a767d5e7d489007b032817fcb337c9c418a3248167,,True
42,42,42,42,Homo sapiens (rna),http://geneontology.org/gene-associations/goa_human_rna.gaf.gz,0.000378,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"human, genes, annotations",text,p3037,Biology,,,,,6fef32a2ec955193df86fd2c7e92f546d8c0b19539f6c4bdd171414000f5f5e0,,True
43,43,43,43,Sus scrofa,http://geneontology.org/gene-associations/goa_pig.gaf.gz,0.002,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"pig, genes, annotations",text,p3038,Biology,,,,,77e6166d17635e656115db1717c97a7acf97195ff0c538badce0f5819e55c5c0,,True
44,44,44,44,Sus scrofa (complex),http://geneontology.org/gene-associations/goa_pig_complex.gaf.gz,8e-06,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"Pig, genes, annotations",text,p3039,Biology,,,,,9684ca73c65fcc38de8bd37ed8305afd6c822497c5bcf732c63de162bc41c693,,True
45,45,45,45,Sus scrofa (rna),http://geneontology.org/gene-associations/goa_pig_rna.gaf.gz,0.000114,v1,gzip,,public,static,,"In the GOA project, this vocabulary is applied to all proteins described in the UniProt (Swiss-Prot and TrEMBL) Knowledgebase, and to RNAs and macromolecular complexes, identified by RNAcentral and Complex Portal identifiers, respectively, to create ""annotations"", which are provided in the UniProt annotation files.",,Life Sciences,"Pig, genes, annotations",text,p3040,Biology,,,,,44498d08602cc4bc7d70c5305ea6d789bc525043b3c6291fc3fd57a0e5832af5,,True
46,46,46,46,Human Genome Diversity Project,http://www.hagsc.org/hgdp/data/hgdp.zip,2.08,v1,zip,,public,static,,"The genotypes were generated on Illumina 650Y arrays, with a GenCall Score cutoff of 0.25. Samples with an overall call rate < 98.5% were removed. No filtering of SNPs was done, so be aware that low quality SNPs are included in these files.",,Life Sciences,"genome, chromosomes",text,p3041,Biology,,,,,bfe8aea560da4d008349042b87522aa30eed2db9a97de726fb41a7999861f099,,False
47,47,47,47,Berling Climate NetCDF ,https://www.beringclimate.noaa.gov/cache/5b322cddd36bc.zip,0.000217,v1,zip,proprietary,public,static,,"Climate indices, atmosphere, ocean, fishery, biology, and sea ice data files. ",,Earth Sciences,"climate, ocean, atmosphere, temperature",text,p3043,Climate,,,,,f6ef09e18f3633dd28d689c08bbd6a8e97cf1af3dd85a0d06b8c8269bbe880e7,,True
48,48,48,48,CrossRef DOI URLs,https://archive.org/compress/doi-urls,0.5,1/1/2014,zip,proprietary,public,static,,DOI URLs from 2007-2013,,Electronics,URL,text,p3045,Networks,,,,,95de65a62483ef778187d132966a38e1522539a045ee0e843eb7f7623b37addd,,False
49,49,49,49,College Scorecard,https://ed-public-download.app.cloud.gov/downloads/CollegeScorecard_Raw_Data.zip,0.235,3/29/2018,zip,proprietary,public,,,"Data that appear on the College Scorecard, as well as supporting data on student completion, debt and repayment, earnings, and more. The files include data from 1996 through 2016 for all undergraduate degree-granting institutions of higher educatio",,Education,College,text,p3046,University,,,,,39d7809c0eda58f446c545e020fc196a8e3e0af5146774e439bc81ebfdb6aedf,,False
50,50,50,50,The Almanac of Minutely Power dataset ,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FIE0S4#,1.0,5/17/2016,zip,Creative Commons Attribution License,public,,,"This dataset contains electricity, water, and natural gas measurements at one minute intervals. This dataset contains a total of 1,051,200 readings for 2 years of monitoring (from April/2012 to March/2014) per meter. There are a total of 21 power meters, 2 water meters (with additional appliance usage annotations), and 2 natural gas meters.",,Energy and Utilities,Power,text,p3047,,,,,,d36206cb269c309bcd319a70e56cba7731aa56137dc93afba504193b226bbdcb,,False
51,51,51,51,Commercial Building Energy Dataset,http://combed.github.io/downloads/combed.zip,0.207,v1,zip,proprietary,public,,,COMBED contains a month of smart meter data collected from different sensing points in IIITD's academic building.,,Energy and Utilities,smart meter,text,p3048,,,,,,875e7b4f368c25d688b6964abb39d68f95981a2b8907949ced7ece2651f368f4,,False
52,52,52,52,Global Power Plant Database,http://datasets.wri.org/dataset/540dcf46-f287-47ac-985d-269b04bea4c6/resource/27c271ef-63c3-49c5-a06a-f21bb7b96371/download/globalpowerplantdatabasev110,0.0077,6/1/2018,zip,proprietary,public,continuous,,"The Global Power Plant Database is a comprehensive, open source database of power plants around the world. It centralizes power plant data to make it easier to navigate, compare and draw insights for one’s own analysis. Each power plant is geolocated and entries contain information on plant capacity, generation, ownership, and fuel type. ",,Energy and Utilities,"plant capacity, generation",text,p3049,Power Plant,,,,,7d7ff3bf4967072ca3373fddeec6bd1e3cc27866904a5227d09f72f478250bd4,,True
53,53,53,53,High Frequency EMI Data Set,https://goo.gl/NerkK1,0.014,v1,zip,,public,,,"This work highlights an extensive empirical study of conducted EMI, performed on a set of 24 loads with 4 different test setups in lab settings and with one test setup in home settings.",Lab Setting,Energy and Utilities,"EMI, experimental",text,p3050,,,,,,2ab99f85084e4b75c123ffad6a2059c2627f371c8d1a43329ca3ab0807f371b7,,False
54,54,54,54,PLAID:  Plug Load Appliance Identification Dataset,http://plaidplug.com/static/dataset/Plaid.tar.gz,0.031,v1,gzip,proprietary,public,,,"PLAID currently includes current and voltage measurements sampled at 30 kHz from 11 different appliance types present in more than 60 households in Pittsburgh, Pennsylvania, USA. Data collection took place during the summer of 2013, and winter of 2014. Each appliance type is represented by dozens of different instances of varying make/models. For each appliance, three to six measurements were collected for each state transition.",,Energy and Utilities,,text,p3051,,,,,,ec8cc667baed4943080101cb53d76ec9b229e483c8cc7429dcf70d6e62b6e335,,False
55,55,55,55,Tracebase,https://github.com/areinhardt/tracebase/archive/master.zip,2.7,v1,zip,Open Database License,public,,,"The tracebase data set is a collection of power consumption traces which can be used in energy analytics research. Traces have been collected from individual electrical appliances, at an average reporting rate of one sample per second.",,Energy and Utilities,,text,p3052,,,,,,eb3d6602e6316452d17cd6731ab9e2036833f9513ef4db0ee03c17ba427df1a0,,False
56,56,56,56,Cricsheet,https://cricsheet.org/downloads/all.zip,0.466,v1,zip,,public,,,"Ball-by-ball data for Men’s and Women’s Test Matches, One-day internationals, Twenty20 Internationals, some other international T20s, and all Indian Premier League seasons",,Media and Entertainment,cricket,text,p3053,sports,,,,,e45adc94d779f3757f80594b2996e886853c661527704afab48ad18a0c37882f,,False
57,57,57,57,Ergast,http://ergast.com/downloads/f1db_csv.zip,0.0165,6/24/2018,zip,Creative Commons Attribution Licence,public,continuous,,"Race results, driver standings, lap times, pit stops, circuits, seasons, etc.",,Media and Entertainment,,"image, text",p3054,Sports,,,,,8a57fd6137596a30947c3e1f25d0d4da135ec2b754c85fafb253ad9799f1844a,,False
58,58,58,58,Pinhooker: Thoroughbread Bloodstock Sale Data,https://github.com/phillc73/pinhooker/archive/master.zip,0.0045,v1,zip,,public,,,Historic thoroughbred bloodstock sales data.,,Media and Entertainment,horse,text,p3055,Sports,,,,,22db59bf3ccb561ae50930adebaf049baa774ba82eca07047e683840b9373cd9,,True
59,59,59,59,Retrosheet Baseball Statistics,http://www.retrosheet.org/events/allas.zip,0.002,v1,zip,,public,,,Complete set of All-Star baseball games,,Media and Entertainment,baseball,text,p3056,Sports,,,,,789f22146ed00b7dd0a51ab0222f1e41dc383356d2a90cc1a037222326ed432d,,True
60,60,60,60,Retrosheet Baseball Statistics,http://www.retrosheet.org/events/allpost.zip,0.011,v1,zip,,public,,,Complete set of Post-Season baseball games,,Media and Entertainment,baseball,text,p3056,Sports,,,,,37215c33ae2f2cb631f4ee66e09e2d1082940ff656d9a0355460075dab139236,,False
61,61,61,61,"ATP Tennis Rankings, Results, and Stats",https://github.com/JeffSackmann/tennis_atp/archive/master.zip,0.207,8/4/2015,zip,Creative Commons Attribution License,public,,,"ATP player information including id, name, hand, birth date, and country code. Rankings include date, ranking, player id, and ranking points. The ATP match results feature stats and additional player information.",,Media and Entertainment,tennis,text,p3057,Sports,,,,,97582d4e61d4104ce38a2960fba1e940522f904366ccc96e87970c37aba58906,,False
